key,title,year,source_type,local_copy,official_source,panicle_relevance
S01,"MSD1 regulates pedicellate spikelet fertility in sorghum through the jasmonic acid pathway",2018,"Nature Communications research article",papers/msd1_pedicellate_spikelet_fertility_2018.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC5826930/,"Determinate panicle architecture; rachis/branch orders; sessile plus two pedicellate spikelets; pedicellate fertility mechanism."
S02,"Morphological analysis and stage determination of anther development in Sorghum [Sorghum bicolor (L.) Moench]",2022,"Open research article",papers/anther_development_morphology_2022.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC8921119/,"18 anther stages; links hidden panicle/anther development with leaf, boot, heading, and flowering stages."
S03,"Pre-anthesis ovary development determines genotypic differences in potential kernel weight in sorghum",2009,"Open research article",papers/pre_anthesis_ovary_kernel_weight_2009.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC2657540/,"Potential kernel size and pre-anthesis sink development."
S04,"High-resolution phenomics dataset collected on a field-grown EMS-mutagenized sorghum population evaluated in hot arid conditions",2025,"Open data descriptor",papers/maricopa_field_phenomics_dataset_2025.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12308891/,"Maricopa Agricultural Center field context; managed water limitation; RGB, FLIR, PSII, 3D, and AZMET-linked data."
S05,"Impact of high temperature stress on floret fertility and individual grain weight of grain sorghum: sensitive stages and thresholds for temperature and duration",2015,"Frontiers in Plant Science research article",papers/high_temperature_floret_fertility_grain_weight_2015.pdf,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2015.00820/full,"Heat sensitivity before/during anthesis versus grain-fill effects; fertility and individual grain weight."
S06,"Sensitivity of sorghum pollen and pistil to high temperature stress",2018,"Open research article",,"https://pmc.ncbi.nlm.nih.gov/articles/PMC5904002/","Male and female reproductive heat response; source linked when a local PDF endpoint was unavailable."
S07,"Effect of Heat and Drought Stress on Sorghum and Millet. I. Panicle Development and Solute Accumulation",1986,"ICRISAT repository article",,https://oar.icrisat.org/8064/,"Drought delay/cessation/recovery during panicle development and flowering."
S08,"A Guide to Sorghum Breeding",1980,"ICRISAT book",papers/icrisat_guide_to_sorghum_breeding.pdf,https://oar.icrisat.org/2736/1/53726.pdf,"Field morphology and breeding context."
S09,"Sorghum growth and development",1989,"ICRISAT book chapter",papers/icrisat_sorghum_growth_development_chapter.pdf,https://oar.icrisat.org/7072/1/ch9.pdf,"Phenology, panicle emergence, anthesis, and development sequence."
S10,"Consensus Document on the Biology of Sorghum bicolor (L.) Moench (Sorghum)",2018,"OECD consensus document",,https://www.oecd-ilibrary.org/sorghum-sorghum-bicolor_5jfj3qftwnjj.pdf,"Independent crop-biology reference including top-down anthesis description."
S11,"Maricopa Agricultural Center",2026,"University of Arizona facility reference",,https://experimentstation.arizona.edu/maricopa-agricultural-center,"Site capabilities, irrigation infrastructure, field scanner, and AZMET context."
S12,"Harnessing regulatory variation to elucidate drought resilience mechanisms in sorghum",2026,"US DOE project reference",,https://www.genomicscience.energy.gov/abstract/harnessing-regulatory-variation-to-elucidate-drought-resilience-mechanisms-in-sorghum/,"Managed drought plus seedling-to-harvest scanning at Maricopa; contextual reference only."
